product_id,product_name,category,stock_quantity,reorder_point,max_stock,unit_cost,unit_price,total_sales_6mo,sales_jan,sales_feb,sales_mar,sales_apr,sales_may,sales_jun,supplier,warehouse,lead_time_days,last_restock_date,last_sale_date,stock_status,turnover_ratio
PRD-1032,Science Kit,Toys,632,149,894,415.7,794.92,953,81,243,230,132,126,141,Alpine Goods,Warehouse D,23,2025-01-27,2025-02-21,Normal,1.51
PRD-1033,Coffee Table,Furniture,455,39,312,144.65,224.67,745,163,276,41,70,77,118,Prime Supplies,Warehouse B,5,2024-07-15,2024-08-07,Overstock,1.64
PRD-1034,Poetry Collection,Books,343,158,948,209.34,307.5,1211,215,199,299,10,294,194,EastWest Exports,Warehouse C,27,2024-09-01,2024-09-02,Normal,3.53
PRD-1035,Poetry Collection,Books,556,159,1113,449.15,824.05,995,139,223,248,14,199,172,Nordic Supply,Warehouse B,29,2024-12-08,2024-12-30,Normal,1.79
PRD-1036,Needle Pliers,Tools,642,156,468,453.69,893.52,672,13,42,219,69,236,93,Nordic Supply,Warehouse C,9,2024-01-26,2024-02-04,Overstock,1.05
PRD-1037,Angle Grinder,Tools,350,117,585,376.62,859.26,721,129,41,240,9,276,26,FastShip Co,Warehouse A,27,2024-06-28,2024-07-06,Normal,2.06
PRD-1038,Bluetooth Speaker,Electronics,209,25,175,78.31,106.82,1014,58,288,111,238,131,188,Pacific Imports,Warehouse A,27,2024-03-26,2024-04-15,Overstock,4.85
PRD-1039,Olive Oil,Food,115,168,504,464.61,905.31,710,192,203,101,38,124,52,QuickTrade,Warehouse E,28,2024-12-22,2025-01-16,Low,6.17
PRD-1040,Beanie,Clothing,806,30,150,267.54,551.13,939,35,259,174,6,215,250,EastWest Exports,Warehouse D,25,2024-02-24,2024-03-09,Overstock,1.17
PRD-1041,Granola,Food,185,153,1224,136.86,308.03,1285,275,247,238,223,137,165,FastShip Co,Warehouse C,17,2025-03-12,2025-03-20,Normal,6.95
PRD-1042,Wall Mirror,Furniture,588,176,1408,191.04,236.38,929,166,93,249,108,181,132,Pacific Imports,Warehouse C,20,2024-06-23,2024-07-02,Normal,1.58
PRD-1043,Drone Mini,Electronics,975,68,204,122.57,211.84,1138,284,123,243,251,229,8,MegaStore Inc,Warehouse D,25,2024-02-17,2024-02-27,Overstock,1.17
PRD-1044,TV Stand,Furniture,684,168,840,237.94,449.75,1217,217,281,169,180,232,138,MegaStore Inc,Warehouse A,26,2024-06-05,2024-06-14,Normal,1.78
PRD-1045,Nightstand,Furniture,127,157,1256,94.61,140.15,950,247,141,268,144,51,99,EastWest Exports,Warehouse B,12,2024-05-31,2024-06-08,Low,7.48
PRD-1046,VR Headset,Electronics,134,90,270,487.2,935.12,811,64,251,52,6,293,145,SunCoast Trading,Warehouse C,8,2024-08-28,2024-09-13,Normal,6.05
PRD-1047,Smartphone X,Electronics,968,142,426,411.49,708.14,800,37,295,27,77,76,288,MegaStore Inc,Warehouse A,20,2024-06-04,2024-06-07,Overstock,0.83
PRD-1048,Programming Guide,Books,615,178,712,388.4,658.14,1074,226,152,219,156,291,30,FastShip Co,Warehouse B,23,2024-11-08,2024-12-02,Normal,1.75
PRD-1049,Coffee Table,Furniture,681,40,160,121.83,233.62,909,80,1,209,230,240,149,QuickTrade,Warehouse C,25,2024-01-17,2024-01-25,Overstock,1.33
PRD-1050,Adjustable Wrench,Tools,708,79,395,394.44,793.84,845,101,217,58,278,115,76,Prime Supplies,Warehouse A,4,2024-05-16,2024-06-12,Overstock,1.19
PRD-1051,Olive Oil,Food,614,165,825,220.97,399.8,1284,155,206,139,256,276,252,Pacific Imports,Warehouse A,16,2024-08-12,2024-08-15,Normal,2.09
PRD-1052,Mini Guitar,Toys,261,26,78,116.39,241.69,1056,294,300,10,137,295,20,Prime Supplies,Warehouse D,19,2025-01-25,2025-02-19,Overstock,4.05
PRD-1053,Utility Knife,Tools,190,169,1014,318.3,585.43,1007,46,240,178,209,170,164,Prime Supplies,Warehouse C,16,2024-12-09,2024-12-13,Normal,5.3
PRD-1054,Toolbox,Tools,683,122,854,20.76,27.29,822,129,165,59,206,263,0,Alpine Goods,Warehouse D,16,2024-12-02,2024-12-30,Normal,1.2
PRD-1055,4K Monitor,Electronics,535,112,784,378.82,762.58,761,26,104,136,281,67,147,SunCoast Trading,Warehouse A,3,2024-08-12,2024-09-10,Normal,1.42
PRD-1056,King Bed,Furniture,323,161,483,277.24,366.28,836,58,236,60,78,255,149,QuickTrade,Warehouse D,29,2024-09-17,2024-10-10,Normal,2.59
PRD-1057,Extension Cord,Tools,254,136,952,74.46,107.8,891,260,69,35,141,212,174,QuickTrade,Warehouse A,12,2025-02-07,2025-02-24,Normal,3.51
PRD-1058,Water Bottle,Sports,598,188,1128,432.96,770.89,1346,247,176,170,282,278,193,EastWest Exports,Warehouse B,25,2024-08-21,2024-09-20,Normal,2.25
PRD-1059,Recliner,Furniture,397,79,474,24.21,52.49,804,195,197,77,253,18,64,EastWest Exports,Warehouse A,30,2024-09-14,2024-10-03,Normal,2.03
PRD-1060,Hand Saw,Tools,543,136,408,361.91,627.18,868,79,38,240,135,173,203,EastWest Exports,Warehouse E,15,2024-11-28,2024-12-01,Overstock,1.6
PRD-1061,Card Game,Toys,898,158,474,309.68,466.13,632,147,116,46,222,50,51,QuickTrade,Warehouse A,4,2024-08-15,2024-08-21,Overstock,0.7
PRD-1062,Jigsaw Puzzle,Toys,305,111,555,216.76,328.92,807,210,289,92,87,89,40,Nordic Supply,Warehouse E,24,2024-11-08,2024-12-06,Normal,2.65
PRD-1063,Bar Stool,Furniture,939,169,676,118.01,239.47,1033,235,130,4,238,147,279,SunCoast Trading,Warehouse C,21,2024-03-21,2024-03-24,Overstock,1.1
PRD-1064,Swimming Goggles,Sports,711,84,504,423.03,617.19,1105,196,247,54,121,195,292,QuickTrade,Warehouse C,3,2024-07-02,2024-07-21,Overstock,1.55
PRD-1065,Self Help Book,Books,13,164,1312,389.7,960.88,906,254,146,117,180,112,97,Prime Supplies,Warehouse A,23,2024-11-13,2024-11-22,Critical,69.69
PRD-1066,Smartwatch,Electronics,812,132,396,290.83,625.89,767,46,151,167,212,89,102,Alpine Goods,Warehouse C,19,2024-03-08,2024-04-03,Overstock,0.94
PRD-1067,Mountain Bike,Sports,268,143,715,373.91,613.34,725,58,239,38,72,115,203,Alpine Goods,Warehouse C,5,2025-03-09,2025-04-04,Normal,2.71
PRD-1068,Mystery Novel,Books,275,157,471,228.75,474.58,992,134,299,195,190,55,119,Pacific Imports,Warehouse E,13,2024-08-29,2024-08-30,Normal,3.61
PRD-1069,Dining Table,Furniture,655,138,1104,152.84,264.53,579,71,23,19,155,252,59,Alpine Goods,Warehouse B,15,2024-02-19,2024-02-27,Normal,0.88
PRD-1070,Jigsaw,Tools,691,198,1386,211.01,456.83,942,79,212,50,250,208,143,EastWest Exports,Warehouse B,17,2024-01-17,2024-02-09,Normal,1.36
PRD-1071,Measuring Tape,Tools,880,112,336,490.5,822.83,717,183,31,203,141,97,62,SunCoast Trading,Warehouse A,24,2025-03-10,2025-04-06,Overstock,0.81
PRD-1072,Dresser,Furniture,999,25,75,393.92,597.43,882,64,289,105,35,283,106,MegaStore Inc,Warehouse C,27,2024-10-27,2024-11-03,Overstock,0.88
PRD-1073,Honey Jar,Food,7,90,360,493.78,939.31,415,89,56,13,67,7,183,MegaStore Inc,Warehouse E,13,2025-02-08,2025-03-06,Critical,59.29
PRD-1074,Mechanical Keyboard,Electronics,276,33,132,371.5,699.87,1006,32,243,229,185,262,55,MegaStore Inc,Warehouse E,4,2024-08-19,2024-09-05,Overstock,3.64
PRD-1075,Punching Bag,Sports,663,27,81,499.29,1149.11,829,218,55,251,227,37,41,Prime Supplies,Warehouse A,7,2024-06-13,2024-07-03,Overstock,1.25
PRD-1076,Gym Bag,Sports,653,169,1183,356.79,604.82,1181,271,150,232,258,220,50,FastShip Co,Warehouse E,26,2025-02-10,2025-03-05,Normal,1.81
PRD-1077,Folding Chair,Furniture,467,78,468,171.12,306.23,928,212,48,160,218,160,130,SunCoast Trading,Warehouse A,5,2024-07-10,2024-07-15,Normal,1.99
PRD-1078,Winter Jacket,Clothing,447,44,352,370.04,834.55,1356,284,30,300,287,287,168,Nordic Supply,Warehouse C,30,2024-12-09,2024-12-13,Overstock,3.03
PRD-1079,Physics Textbook,Books,996,93,651,157.94,210.8,861,259,108,79,246,114,55,Alpine Goods,Warehouse C,6,2024-06-28,2024-07-26,Overstock,0.86
PRD-1080,Water Bottle,Sports,236,129,903,487.33,1103.29,679,285,13,136,14,92,139,QuickTrade,Warehouse C,14,2024-12-25,2025-01-19,Normal,2.88
PRD-1081,Mechanical Keyboard,Electronics,895,56,392,329.52,425.23,848,15,46,271,110,192,214,Prime Supplies,Warehouse C,12,2024-08-20,2024-08-31,Overstock,0.95
PRD-1082,Remote Drone,Toys,615,41,123,79.9,174.24,896,25,41,139,226,217,248,Nordic Supply,Warehouse C,9,2024-11-06,2024-11-21,Overstock,1.46
PRD-1083,Sports Bra,Clothing,445,48,240,339.91,669.99,791,269,157,23,112,202,28,QuickTrade,Warehouse B,27,2024-01-04,2024-01-11,Overstock,1.78
PRD-1084,Dark Chocolate,Food,301,103,309,6.35,13.79,994,89,66,194,272,117,256,EastWest Exports,Warehouse A,15,2024-10-13,2024-11-09,Normal,3.3
PRD-1085,USB Hub,Electronics,24,137,411,431.39,840.56,1126,293,207,213,148,58,207,Prime Supplies,Warehouse E,17,2024-01-11,2024-01-22,Critical,46.92
PRD-1086,Lego City Set,Toys,452,47,188,219.24,377.22,856,40,202,158,173,113,170,FastShip Co,Warehouse E,23,2025-02-02,2025-02-08,Overstock,1.89
PRD-1087,Scarf,Clothing,527,69,345,177.17,433.3,553,75,120,52,74,131,101,Prime Supplies,Warehouse A,8,2024-03-29,2024-04-18,Overstock,1.05
PRD-1088,Work Gloves,Tools,777,164,1148,225.83,542.31,951,289,165,161,77,225,34,QuickTrade,Warehouse C,21,2024-08-28,2024-09-12,Normal,1.22
PRD-1089,Webcam HD,Electronics,524,38,190,232.21,290.0,874,188,146,39,46,259,196,Alpine Goods,Warehouse A,17,2024-08-24,2024-09-12,Overstock,1.67
PRD-1090,Nightstand,Furniture,624,141,987,77.55,99.3,636,52,175,43,258,88,20,SunCoast Trading,Warehouse D,19,2024-05-06,2024-05-29,Normal,1.02
PRD-1091,Almond Milk,Food,386,92,552,205.86,337.59,731,26,171,33,168,48,285,QuickTrade,Warehouse C,26,2024-12-13,2024-12-26,Normal,1.89
PRD-1092,Green Tea,Food,88,169,1352,72.86,120.57,945,200,66,43,158,286,192,EastWest Exports,Warehouse B,24,2024-11-25,2024-12-21,Low,10.74
PRD-1093,Formal Suit,Clothing,525,112,336,182.89,262.33,814,109,174,248,98,115,70,QuickTrade,Warehouse A,19,2024-03-20,2024-03-23,Overstock,1.55
PRD-1094,Gaming Console,Electronics,902,178,712,299.62,419.63,818,92,84,224,22,210,186,MegaStore Inc,Warehouse D,22,2024-12-12,2025-01-05,Overstock,0.91
PRD-1095,Punching Bag,Sports,244,156,624,156.46,352.22,1280,240,99,188,292,225,236,Nordic Supply,Warehouse E,19,2025-01-28,2025-02-07,Normal,5.25
PRD-1096,Italian Cookbook,Books,841,71,497,71.35,108.81,1098,246,190,283,52,264,63,Prime Supplies,Warehouse C,17,2024-05-25,2024-05-28,Overstock,1.31
PRD-1097,Granola,Food,98,76,456,442.59,1066.47,1009,212,27,202,257,191,120,EastWest Exports,Warehouse B,3,2024-07-16,2024-07-19,Normal,10.3
PRD-1098,Robot Kit,Toys,864,186,930,396.2,546.31,929,146,241,71,240,229,2,QuickTrade,Warehouse B,29,2024-02-10,2024-02-11,Normal,1.08
PRD-1099,Coconut Water,Food,967,175,1225,213.07,470.68,697,121,154,62,24,122,214,Pacific Imports,Warehouse D,5,2024-11-23,2024-12-19,Normal,0.72
PRD-1100,Yoga Pants,Clothing,616,157,471,316.89,617.16,744,73,149,219,0,180,123,Prime Supplies,Warehouse A,19,2024-10-19,2024-11-02,Overstock,1.21
PRD-1101,Lego City Set,Toys,981,154,1078,254.89,633.36,952,283,10,199,240,22,198,TechGlobal Ltd,Warehouse C,28,2024-07-10,2024-07-19,Normal,0.97
PRD-1102,Sports Bra,Clothing,251,188,1504,54.07,105.79,892,170,68,22,180,279,173,Prime Supplies,Warehouse D,25,2025-02-20,2025-03-13,Normal,3.55
PRD-1103,Screwdriver Set,Tools,835,54,162,358.73,870.53,416,18,150,103,22,102,21,QuickTrade,Warehouse E,15,2024-06-10,2024-07-10,Overstock,0.5
PRD-1104,Utility Knife,Tools,42,185,740,144.84,336.14,806,24,169,139,63,188,223,SunCoast Trading,Warehouse D,13,2024-07-23,2024-08-16,Critical,19.19
PRD-1105,Tomato Sauce,Food,713,147,735,462.34,866.91,890,42,217,40,220,92,279,FastShip Co,Warehouse A,13,2024-05-30,2024-06-10,Normal,1.25
PRD-1106,Resistance Bands,Sports,461,174,1392,214.49,449.72,970,179,228,21,180,222,140,TechGlobal Ltd,Warehouse A,24,2024-11-23,2024-12-19,Normal,2.1
PRD-1107,Finance Guide,Books,530,193,772,476.5,660.24,646,224,17,64,34,120,187,Pacific Imports,Warehouse A,22,2024-07-04,2024-07-17,Normal,1.22
PRD-1108,Peanut Butter,Food,976,114,570,223.36,290.36,1033,70,271,187,203,160,142,TechGlobal Ltd,Warehouse B,18,2024-05-07,2024-05-11,Overstock,1.06
PRD-1109,Comic Collection,Books,125,87,435,352.75,521.7,667,146,251,102,62,69,37,SunCoast Trading,Warehouse A,28,2024-08-19,2024-08-25,Normal,5.34
PRD-1110,Slime Kit,Toys,731,36,252,272.22,642.09,790,80,89,185,260,114,62,Prime Supplies,Warehouse B,28,2024-04-12,2024-05-08,Overstock,1.08
PRD-1111,Claw Hammer,Tools,374,161,1127,186.03,417.59,786,282,66,44,33,158,203,SunCoast Trading,Warehouse E,16,2025-01-02,2025-01-26,Normal,2.1
PRD-1112,Meditation Book,Books,80,52,260,322.06,574.87,1180,264,176,65,282,300,93,Nordic Supply,Warehouse E,30,2025-01-28,2025-02-02,Normal,14.75
PRD-1113,"Tablet 10""",Electronics,535,59,295,84.42,136.71,870,115,177,265,145,40,128,Alpine Goods,Warehouse C,7,2024-04-10,2024-05-01,Overstock,1.63
PRD-1114,Gym Bag,Sports,551,43,301,321.38,632.91,943,297,78,87,172,288,21,TechGlobal Ltd,Warehouse A,4,2025-02-26,2025-03-26,Overstock,1.71
PRD-1115,Treadmill,Sports,790,166,996,310.0,384.21,1160,279,148,154,247,125,207,FastShip Co,Warehouse A,8,2024-06-01,2024-06-16,Normal,1.47
PRD-1116,Safety Goggles,Tools,500,138,552,171.74,238.16,1061,163,176,204,66,189,263,EastWest Exports,Warehouse B,17,2024-10-14,2024-10-18,Normal,2.12
PRD-1117,Hoodie,Clothing,465,83,332,50.66,79.9,1080,196,214,127,81,167,295,MegaStore Inc,Warehouse B,18,2025-01-04,2025-01-15,Overstock,2.32
PRD-1118,Extension Cord,Tools,905,98,588,14.03,34.08,1203,258,234,123,110,298,180,QuickTrade,Warehouse D,22,2024-01-25,2024-01-27,Overstock,1.33
PRD-1119,Toolbox,Tools,554,22,66,216.88,509.06,834,187,206,187,23,205,26,MegaStore Inc,Warehouse C,20,2024-10-18,2024-11-05,Overstock,1.51
PRD-1120,Boxing Gloves,Sports,400,149,894,382.78,598.53,739,60,65,49,201,191,173,Prime Supplies,Warehouse B,22,2024-10-12,2024-10-24,Normal,1.85
PRD-1121,Children Story,Books,46,31,93,70.67,115.4,1150,242,265,233,76,263,71,Pacific Imports,Warehouse C,8,2024-06-16,2024-07-16,Normal,25.0
PRD-1122,Programming Guide,Books,762,96,672,169.84,386.69,1214,272,250,288,153,243,8,FastShip Co,Warehouse D,21,2024-07-07,2024-07-18,Overstock,1.59
PRD-1123,Football,Sports,616,141,705,483.61,1072.54,1276,296,295,116,26,298,245,Pacific Imports,Warehouse D,7,2024-03-28,2024-04-14,Normal,2.07
PRD-1124,Office Chair,Furniture,591,199,597,97.41,172.74,1072,214,77,211,104,210,256,SunCoast Trading,Warehouse A,25,2025-01-31,2025-02-20,Normal,1.81
PRD-1125,Mixed Nuts,Food,217,163,815,499.06,909.23,1122,192,160,88,235,272,175,QuickTrade,Warehouse E,18,2024-10-06,2024-10-18,Normal,5.17
PRD-1126,Wardrobe,Furniture,290,162,810,114.37,281.9,1062,152,147,106,250,162,245,QuickTrade,Warehouse C,6,2024-06-27,2024-07-15,Normal,3.66
PRD-1127,Art Book,Books,843,108,432,147.0,231.37,928,40,177,226,131,245,109,Alpine Goods,Warehouse C,20,2024-04-13,2024-05-10,Overstock,1.1
PRD-1128,Yoga Mat,Sports,116,177,1416,294.44,446.13,793,271,115,119,26,51,211,SunCoast Trading,Warehouse A,24,2024-06-18,2024-07-11,Low,6.84
PRD-1129,Potato Chips,Food,992,160,640,204.93,495.02,1046,243,244,102,147,164,146,FastShip Co,Warehouse E,10,2024-11-26,2024-11-28,Overstock,1.05
PRD-1130,Mechanical Keyboard,Electronics,432,65,195,498.58,855.61,671,253,95,148,19,4,152,FastShip Co,Warehouse C,12,2024-10-17,2024-11-06,Overstock,1.55
PRD-1131,Cable Tester,Tools,541,146,584,425.89,770.19,772,98,57,169,83,234,131,TechGlobal Ltd,Warehouse C,28,2025-01-02,2025-01-08,Normal,1.43
PRD-1132,Water Bottle,Sports,695,69,276,306.44,622.18,1104,207,218,263,167,44,205,Prime Supplies,Warehouse B,18,2024-12-08,2024-12-12,Overstock,1.59
PRD-1133,RC Racing Car,Toys,11,86,516,119.67,260.87,1051,168,154,298,293,5,133,MegaStore Inc,Warehouse A,24,2024-11-30,2024-12-12,Critical,95.55
PRD-1134,Swim Shorts,Clothing,319,60,360,343.81,825.16,783,159,60,151,188,113,112,Prime Supplies,Warehouse D,26,2024-03-09,2024-03-25,Normal,2.45
PRD-1135,Building Blocks,Toys,723,160,960,379.27,850.55,1045,111,126,41,269,228,270,FastShip Co,Warehouse E,6,2024-12-26,2025-01-07,Normal,1.45
PRD-1136,VR Headset,Electronics,929,149,596,287.41,400.88,1121,167,266,226,59,105,298,Alpine Goods,Warehouse D,28,2024-09-07,2024-09-10,Overstock,1.21
PRD-1137,Power Bank,Electronics,140,151,906,229.75,292.94,737,236,157,11,202,130,1,Pacific Imports,Warehouse A,4,2025-01-16,2025-01-23,Low,5.26
PRD-1138,Finance Guide,Books,722,36,252,497.07,1200.4,739,35,241,16,146,209,92,Nordic Supply,Warehouse C,15,2025-01-28,2025-02-02,Overstock,1.02
PRD-1139,Paint Roller,Tools,389,40,320,482.15,1126.75,873,68,178,60,91,275,201,MegaStore Inc,Warehouse A,27,2024-09-27,2024-10-02,Overstock,2.24
PRD-1140,Smartwatch,Electronics,479,192,1536,273.36,517.06,875,117,126,235,177,79,141,FastShip Co,Warehouse A,28,2024-04-06,2024-05-06,Normal,1.83
PRD-1141,Programming Guide,Books,789,24,96,105.02,139.8,621,17,228,24,125,22,205,Alpine Goods,Warehouse B,27,2024-08-12,2024-08-20,Overstock,0.79
PRD-1142,DSLR Camera,Electronics,520,94,376,408.35,878.35,970,163,295,164,121,154,73,MegaStore Inc,Warehouse D,12,2024-12-04,2024-12-21,Overstock,1.87
PRD-1143,Tennis Racket,Sports,575,171,1368,456.0,918.29,1150,218,284,253,24,176,195,EastWest Exports,Warehouse D,16,2025-02-06,2025-02-23,Normal,2.0
PRD-1144,Olive Oil,Food,390,67,469,238.07,548.55,990,153,73,237,29,287,211,Alpine Goods,Warehouse B,15,2024-08-01,2024-08-19,Normal,2.54
PRD-1145,Coffee Table,Furniture,213,104,832,41.84,74.67,770,189,47,274,97,26,137,Pacific Imports,Warehouse E,4,2024-07-12,2024-08-03,Normal,3.62
PRD-1146,Ankle Socks,Clothing,828,170,1360,336.54,498.79,643,106,170,155,7,108,97,SunCoast Trading,Warehouse B,25,2025-01-14,2025-01-18,Normal,0.78
PRD-1147,Bean Bag,Furniture,942,81,567,162.5,254.8,1168,238,273,183,157,133,184,SunCoast Trading,Warehouse D,6,2024-09-19,2024-10-18,Overstock,1.24
PRD-1148,Angle Grinder,Tools,941,72,360,158.18,199.22,910,113,74,8,133,283,299,Nordic Supply,Warehouse C,7,2024-10-23,2024-11-16,Overstock,0.97
PRD-1149,Nightstand,Furniture,240,117,819,417.09,771.24,1125,172,131,250,251,235,86,EastWest Exports,Warehouse B,7,2025-01-10,2025-02-05,Normal,4.69
PRD-1150,Screwdriver Set,Tools,943,158,1264,478.72,900.53,464,38,24,3,211,70,118,Prime Supplies,Warehouse A,9,2024-02-04,2024-02-27,Normal,0.49
PRD-1151,Jigsaw,Tools,66,178,1424,334.2,668.89,1061,247,249,8,3,272,282,TechGlobal Ltd,Warehouse E,26,2024-07-29,2024-07-30,Critical,16.08
PRD-1152,Fitness Tracker,Sports,298,24,168,407.04,845.11,661,91,54,49,268,76,123,Alpine Goods,Warehouse C,29,2024-04-08,2024-04-28,Overstock,2.22
PRD-1153,Rubiks Cube,Toys,819,121,363,188.09,324.99,738,289,124,115,153,41,16,Nordic Supply,Warehouse D,20,2024-02-17,2024-03-01,Overstock,0.9
PRD-1154,Cordless Drill,Tools,657,22,176,87.76,162.34,1019,222,169,289,48,270,21,Pacific Imports,Warehouse D,11,2024-04-27,2024-05-04,Overstock,1.55
PRD-1155,Wireless Headphones,Electronics,705,91,637,282.84,351.51,851,161,8,106,300,73,203,Prime Supplies,Warehouse E,10,2024-02-09,2024-02-19,Overstock,1.21
PRD-1156,Comic Collection,Books,344,118,944,72.12,179.22,773,40,256,177,27,50,223,FastShip Co,Warehouse C,22,2024-04-28,2024-05-25,Normal,2.25
PRD-1157,Fantasy Novel,Books,35,182,910,392.31,700.55,1089,116,182,283,192,221,95,Nordic Supply,Warehouse A,27,2024-12-14,2025-01-02,Critical,31.11
